Date,HomeTeam,AwayTeam,home_points_avg,away_points_avg,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_games_history,away_games_history,home_home_points_avg,away_away_points_avg,home_home_goals_avg,away_away_goals_avg,home_home_conceded_avg,away_away_conceded_avg,home_home_wins,away_away_wins,home_home_games,away_away_games,FTR
2010-08-20,Bayern Munich,Wolfsburg,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-21,FC Koln,Kaiserslautern,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-21,Freiburg,St Pauli,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-21,Hamburg,Schalke 04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-21,Hannover,Ein Frankfurt,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-21,Hoffenheim,Werder Bremen,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-21,M'gladbach,Nurnberg,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,D
2010-08-22,Mainz,Stuttgart,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-22,Dortmund,Leverkusen,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-27,Kaiserslautern,Bayern Munich,3.0,3.0,3.0,2.0,1.0,1.0,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-28,Ein Frankfurt,Hamburg,0.0,3.0,1.0,2.0,2.0,1.0,0,1,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-28,Nurnberg,Freiburg,1.0,0.0,1.0,1.0,1.0,3.0,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-28,Schalke 04,Hannover,0.0,3.0,1.0,2.0,2.0,1.0,0,1,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-28,St Pauli,Hoffenheim,3.0,3.0,3.0,4.0,1.0,1.0,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-28,Werder Bremen,FC Koln,0.0,0.0,1.0,1.0,4.0,3.0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,H
2010-08-28,Wolfsburg,Mainz,0.0,3.0,1.0,2.0,2.0,0.0,0,1,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-29,Leverkusen,M'gladbach,3.0,1.0,2.0,1.0,0.0,1.0,1,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-08-29,Stuttgart,Dortmund,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,A
2010-09-10,Hoffenheim,Schalke 04,3.0,0.0,2.5,1.0,0.5,2.0,2,0,0,0,0,2,2,2,3.0,0.0,4.0,1.0,1.0,2.0,1,0,1,1,H
2010-09-11,Bayern Munich,Werder Bremen,1.5,1.5,1.0,2.5,1.5,3.0,1,1,0,0,1,1,2,2,3.0,0.0,2.0,1.0,1.0,4.0,1,0,1,1,D
2010-09-11,Dortmund,Wolfsburg,1.5,0.0,1.5,2.0,1.5,3.0,1,0,0,0,1,2,2,2,0.0,0.0,0.0,1.0,2.0,2.0,0,0,1,1,H
2010-09-11,Freiburg,Stuttgart,1.5,0.0,1.5,0.5,2.0,2.5,1,0,0,0,1,2,2,2,0.0,0.0,1.0,0.0,3.0,2.0,0,0,1,1,H
2010-09-11,Hamburg,Nurnberg,3.0,0.5,2.5,1.0,1.0,1.5,2,0,0,1,0,1,2,2,3.0,1.0,2.0,1.0,1.0,1.0,1,0,1,1,D
2010-09-11,Hannover,Leverkusen,3.0,1.5,2.0,2.5,1.0,3.0,2,1,0,0,0,1,2,2,3.0,3.0,2.0,2.0,1.0,0.0,1,1,1,1,D
2010-09-11,M'gladbach,Ein Frankfurt,2.0,0.0,3.5,1.0,2.0,2.5,1,0,1,0,0,2,2,2,1.0,0.0,1.0,1.0,1.0,2.0,0,0,1,1,A
2010-09-12,FC Koln,St Pauli,0.0,1.5,1.5,1.5,3.5,1.0,0,1,0,0,2,1,2,2,0.0,3.0,1.0,3.0,3.0,1.0,0,1,1,1,H
2010-09-12,Mainz,Kaiserslautern,3.0,3.0,3.0,2.5,1.5,0.5,2,2,0,0,0,0,2,2,3.0,3.0,2.0,3.0,0.0,1.0,1,1,1,1,H
2010-09-17,Ein Frankfurt,Freiburg,1.0,2.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,2,0,0,2,1,3,3,0.0,3.0,1.0,2.0,3.0,1.0,0,1,1,1,A
2010-09-18,Bayern Munich,FC Koln,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,1,1,1,0,1,2,3,3,2.0,0.0,1.0,2.0,0.5,4.0,1,0,2,1,D
2010-09-18,Kaiserslautern,Hoffenheim,2.0,3.0,2.0,2.3333333333333335,1.0,0.3333333333333333,2,3,0,0,1,0,3,3,3.0,3.0,2.0,1.0,0.0,0.0,1,1,1,1,D
2010-09-18,Stuttgart,M'gladbach,0.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.6666666666666665,0,1,0,1,3,1,3,3,0.0,3.0,1.0,6.0,3.0,3.0,0,1,1,1,H
2010-09-18,Werder Bremen,Mainz,1.3333333333333333,3.0,1.6666666666666667,2.6666666666666665,2.0,1.3333333333333333,1,3,1,0,1,0,3,3,3.0,3.0,4.0,4.0,2.0,3.0,1,1,1,1,A
2010-09-18,Wolfsburg,Hannover,0.0,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,0,2,0,1,3,0,3,3,0.0,3.0,3.0,2.0,4.0,1.0,0,1,1,1,H
2010-09-19,Leverkusen,Nurnberg,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,2.6666666666666665,1.3333333333333333,1,0,1,2,1,1,3,3,0.0,1.0,3.0,1.0,6.0,1.0,0,0,1,2,D
2010-09-19,Schalke 04,Dortmund,0.0,2.0,0.6666666666666666,1.6666666666666667,2.0,1.0,0,2,0,0,3,1,3,3,0.0,3.0,1.0,3.0,2.0,1.0,0,1,1,1,A
2010-09-19,St Pauli,Hamburg,1.0,2.3333333333333335,1.0,2.0,1.0,1.0,1,2,0,1,2,0,3,3,0.0,3.0,0.0,3.0,1.0,1.0,0,1,1,1,D
2010-09-21,Mainz,FC Koln,3.0,1.0,2.5,1.0,1.0,1.75,4,1,0,1,0,2,4,4,3.0,0.5,2.0,1.0,0.5,2.0,2,0,2,2,H
2010-09-21,Hoffenheim,Bayern Munich,2.5,1.25,2.25,0.5,0.75,0.75,3,1,1,2,0,1,4,4,3.0,0.0,3.0,0.0,0.5,2.0,2,0,2,1,A
